### Module positions - created on 1/27/2017 1:12:38 PM ###
### Printed by Pcbnew version kicad 4.0.2-stable
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val             Package                                     PosX       PosY       Rot  Side
A1        0915AT43A0026E  ANT_SMD_0868AT43A0020E_labeled           11.7702    46.0300   90.0000  bottom
A2        TE_1909763-1    MiniRFHeader                             10.2800    37.9500    0.0000  bottom
C1        4.7u            C_0603                                   11.0300     9.9800  270.0000  bottom
C2        4.7u            C_0603                                   17.4300    10.8200  180.0000  bottom
C3        1u              C_0402                                   19.7100    33.0100  270.0000  bottom
C4        0.1u            C_0402                                   17.9000    32.4400    0.0000  bottom
C5        0.1u            C_0402                                    7.9202    28.6202   90.0000  bottom
C6        10n             C_0402                                    6.7400    32.8400  180.0000  bottom
C7        2p2             C_0402                                    9.2700    35.6100  180.0000  bottom
C8        10n             C_0402                                   14.5600    35.0800   90.0000  bottom
C9        220p            C_0402                                   15.7600    35.0800   90.0000  bottom
C10       18p             C_0402                                    3.7700    36.4900   90.0000  bottom
C11       0.1u            C_0402                                   28.0800    28.7400  270.0000  bottom
C12       0.1u            C_0402                                   25.2800    34.9700   90.0000  bottom
C13       4.7u            C_0603                                   20.1100    30.5600    0.0000  bottom
C14       18p             C_0402                                    6.9300    40.1600   90.0000  bottom
C15       4.7u            C_0603                                    8.1300    12.3600    0.0000  bottom
C16       4.7u            C_0603                                    9.0600     7.2500  180.0000  bottom
C17       100p            C_0603                                   13.4300    37.7600   90.0000  bottom
C18       0.5p            C_0603                                   11.0300    43.9400    0.0000  bottom
C19       0.1u            C_0402                                   13.7600    24.5000    0.0000  bottom
C20       0.1u            C_0402                                   17.7100    19.7400   90.0000  bottom
C21       0.1u            C_0402                                   14.5000    11.4700  270.0000  bottom
C22       47p             C_0402                                    7.8000    20.0700  270.0000  bottom
C23       47p             C_0402                                    7.8000    22.3200   90.0000  bottom
C24       4.7u            C_0603                                   15.6200    16.2900   90.0000  bottom
C25       0.1u            C_0402                                    9.4300    23.0200    0.0000  bottom
C26       4.7u            C_0603                                   19.4000    16.9800  180.0000  bottom
C29       4.7u            C_0603                                   11.8600     4.9500    0.0000  bottom
C30       4.7u            C_0603                                   19.4000    15.6300  180.0000  bottom
D1        RED             LED_0603                                  1.0702     6.5452  270.0000  bottom
D2        RED             LED_0603                                  1.5202    38.2102    0.0000  bottom
D3        GREEN           LED_0603                                  1.5202    35.1702    0.0000  bottom
D5        DNP             SOD-323                                   7.1200    14.5000    0.0000  bottom
D6        RED             LED_0603                                  1.6100    23.1200    0.0000  bottom
JP1       M02JST-PTH-2    JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled    18.0500     4.9900  180.0000  bottom
L6        4.7n            C_0603                                    9.5300    41.1100  180.0000  bottom
L7        10n             C_0603                                   11.0300    42.5100    0.0000  bottom
P1        DNP             M05x2_FTSH_MTR                           18.7500    40.6600    0.0000  bottom
P6        USB             USB_Micro-B                               2.5202    17.3702   90.0000  bottom
P7        USB             USB_Micro-B                               2.5202    28.8702   90.0000  bottom
R1        330             R_0402                                    2.5800     6.2400  270.0000  bottom
R2        4k              R_0402                                   15.1200    13.7600  270.0000  bottom
R3        DNP             R_0402                                   14.4700    42.7600   90.0000  bottom
R4        DNP             R_0402                                   14.4700    39.8600  270.0000  bottom
R5        56k             R_0402                                   17.0500    34.5200   90.0000  bottom
R6        287             R_0402                                   12.2000     1.7000    0.0000  bottom
R7        10k             R_0402                                   11.8800     3.3600  270.0000  bottom
R8        10k             R_0402                                   17.7000    30.5600  180.0000  bottom
R9        330             R_0402                                    1.9500    36.7400  180.0000  bottom
R10       330             R_0402                                    3.8700    34.1800  180.0000  bottom
R11       330             R_0402                                    4.0700    23.1200  180.0000  bottom
R12       698             R_0402                                    6.6600     7.1500    0.0000  bottom
R13       287             R_0402                                   12.2400    17.2300   90.0000  bottom
R14       100k            R_0402                                   10.8600    12.4900  270.0000  bottom
R15       10k             R_0402                                   10.8600    15.9900  270.0000  bottom
R16       100             R_0402                                   16.4500    21.3300   90.0000  bottom
R17       100             R_0402                                   13.8500    17.8400    0.0000  bottom
R18       27              R_0402                                    9.3700    21.7700    0.0000  bottom
R19       27              R_0402                                    9.3800    20.6300    0.0000  bottom
R20       10k             R_0402                                    5.3000     5.7400   90.0000  bottom
R21       3k              R_0402                                    4.0900     4.8500   90.0000  bottom
SW1       B3U-1000P       SW_SPST_B3U-1000P                         8.7700     1.6900  180.0000  bottom
U3        MCP73831        SOT-23-5                                 17.5700    13.2400  180.0000  bottom
U4        CC1110          QFN-36-1EP_6x6mm_Pitch0.5mm              11.8302    30.0652   90.0000  bottom
U5        TXB0108-DFN20   UFDFN-20_4x2mm_Pitch0.4mm                24.7800    32.1700   90.0000  bottom
U6        0915BM15A0001   0915BM15A0001                            12.2300    35.1300   90.0000  bottom
U7        AP7365          SOT-23-5                                  8.4900     9.9800    0.0000  bottom
U8        MIC2039AY       SOT-23-6                                 13.0100    14.4400   90.0000  bottom
U9        TPS2113A        SON-8                                     8.0900     4.9600   90.0000  bottom
U10       FT230X          QFN-16-1EP_4x4mm_Pitch0.65mm             13.0700    21.1900   90.0000  bottom
X1        24MHz           Crystal_4-SMD_TXC-7V                      6.0700    37.0400   90.0000  bottom
## End
